objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"BANANINE","371838","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","99388631","5.5105","6.25588","0","21796","54","thing","BANANINE","2","5","10","10","10","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bandada","306182","4.5","0","0","0","0","0","0","1","0","0","0","3","","","","","","99888131","5.63498","6.20128","1.8333","7744","748","thing","Bandada","1","2","20","20","10","2022","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bandido","191925","5.8","3","0","0","0","0","0","0","1","0","0","1","","","","","","60323194","6.12345","6.40202","1.1217","2501","13323","thing","Bandido","1","4","15","15","10","2016","1,2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","5.82","USD","","","2019-05-05","Barnes & Noble","1","Normally 12.95, 50% Off + 10% Member","Sold","2019-05-05","","","",""
"Bandu","1231","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103040383","6.31949","6.79599","1.2852","1771","5164","thing","Bandu","2","8","45","45","15","1987","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG!","3955","6","1","3","0","0","0","0","0","1","0","0","1","#medium","Deduction","","","","59748537","6.32074","6.487","1.6332","1767","45262","thing","BANG!","4","7","40","40","20","2002","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2020-07-25","Tiffany Allen","1","","","2020-07-25","","","",""
"BANG! Dice Explosion","422159","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122121727","5.55488","7.69776","0","0","356","thing","BANG! Dice Explosion","3","8","15","15","15","2024","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","6.75","8","2","1","0","0","0","0","1","0","0","3","#small","","","","","53700236","6.72536","6.88152","1.2799","850","42110","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","8032611691058","5","USD","","","2022-03-26","Facebook Marketplace","1","First bought Walmart 17.17 September 2019","","2022-03-26","","","",""
"BANG! The Dice Game: Old Saloon","193614","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","93733091","6.46819","7.52294","1.6667","0","8445","thing","BANG! The Dice Game: Old Saloon","3","8","20","20","15","2016","4,5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Bang! The Dice Game: The Walking Dead","177697","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112427098","5.66043","6.65307","1.3333","7041","973","thing","Bang! The Dice Game: The Walking Dead","3","8","30","30","15","2015","4,5,6,7,8","5,6,7","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game: Undead or Alive","283717","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","62460620","5.75333","7.15312","2","0","2819","thing","BANG! The Dice Game: Undead or Alive","3","8","20","20","15","2019","7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Barbarossa","550","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","53702701","5.80921","6.31943","1.5524","4572","2889","thing","Barbarossa","3","4","60","60","60","1988","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Barbecubes","393114","5.8","1","0","0","0","0","0","1","0","0","1","4","","","","","","137025241","5.74048","6.88284","1.0588","5447","1864","thing","Barbecubes","2","6","15","15","3","2025","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Barcelona","383607","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","107758002","6.91805","7.73632","3.3644","589","6961","thing","Barcelona","1","4","90","90","60","2023","1,2,3","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bardwood Grove","344925","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","89927267","5.82643","7.30101","3.2903","4414","1808","thing","Bardwood Grove","1","4","90","90","60","2024","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bärenpark","219513","6.5","7","0","0","0","1","1","0","1","0","1","3","","","","","","53738307","7.07463","7.27871","1.6611","411","27585","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","21.97","USD","","","2020-11-09","Target","1","","Returned","2020-11-18","","","",""
"Bärenpark: The Bad News Bears","264238","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59627955","6.4098","7.71296","2.087","0","6579","thing","Bärenpark: The Bad News Bears","2","4","45","45","30","2019","2,3,4","2,3,4","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Bargain Basement Bathysphere","255360","0","0","0","0","0","0","0","1","0","0","0","3","","Dice & Sheets","","","tbd","100859527","5.88662","7.21401","2.2381","3881","1611","thing","Bargain Basement Bathysphere","1","1","15","15","10","2022","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bark Avenue","343684","5.8","1","0","0","0","0","0","1","0","0","0","3","","","","","","93786475","5.75392","7.06542","2.1905","5260","1194","thing","Bark Avenue","1","5","60","60","45","2023","2,3,4,5","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Barnyard Roundup","186793","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","97261445","5.56319","6.64263","1.25","11615","463","thing","Barnyard Roundup","2","6","20","20","10","2016","3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: 2045","151022","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","114736428","6.84962","7.51866","2.1951","683","6018","thing","Baseball Highlights: 2045","1","4","45","45","45","2015","1,2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: 2045 – Spring Training","224678","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138618795","5.66267","7.47777","2.4","6989","549","thing","Baseball Highlights: 2045 – Spring Training","1","2","45","45","45","2017","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: The Dice Game","329607","0","0","0","0","0","0","0","1","0","0","0","3","","Custom Dice & Sheets","","","tbd","80726485","5.61973","7.00579","2","8285","546","thing","Baseball Highlights: The Dice Game","1","4","45","45","20","2021","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BasketBoss","56758","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","59186141","5.71258","6.40822","2.125","5910","774","thing","BasketBoss","2","5","50","50","50","2009","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Basketboss","358812","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","92168869","5.72993","6.83595","1.9091","5625","1028","thing","Basketboss","2","5","40","40","40","2022","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bastille","259038","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","80753116","5.75593","7.0935","2.5","5230","898","thing","Bastille","3","4","60","60","60","2018","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bat Flip","351603","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","119218345","5.53278","7.58646","2","15615","155","thing","Bat Flip","2","2","45","45","30","2022","2","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Batalha dos Cookies","430345","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","133578288","0","5.15","0","0","20","thing","Batalha dos Cookies","2","6","30","30","20","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Batam","448136","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","134070023","0","6.67241","1.5","0","147","thing","Batam","3","4","45","45","45","2025","3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Batman: The Dark Knight Returns – The Game","324513","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","114853831","5.8436","7.56301","3.1111","4253","2012","thing","Batman: The Dark Knight Returns – The Game","1","2","90","90","90","2022","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Card: Series 1","398947","0","0","0","0","0","0","0","0","0","0","0","1","","","","","tbd","110989511","5.5709","6.62536","1.3636","10977","665","thing","Battle Card: Series 1","1","1","10","10","5","2023","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Kittens","226860","5","3","0","0","0","0","0","0","1","0","0","2","","","","","","56817821","5.55861","6.0366","1.4545","12023","980","thing","Battle Kittens","2","6","15","15","15","2017","3,4,5","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","8.5","USD","","","2018-12-23","Barnes & Noble","1","Sold for 7 on FB","Sold","2018-12-23","","","",""
"Battle Line","760","5","5","2","0","0","0","0","0","1","0","0","2","","Hand Management","","","","57994526","7.17534","7.41424","1.8891","321","22316","thing","Battle Line","2","2","30","30","30","2000","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2021-01-01","Tiffany Allen","1","","","2021-01-01","","","",""
"Battle Line: Medieval","297985","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","72626558","6.48316","7.62057","1.8393","1330","3787","thing","Battle Line: Medieval","2","3","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle of the Boy Bands","296136","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93793019","0","7.21429","1.5","0","77","thing","Battle of the Boy Bands","3","5","30","30","30","2021","2,3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Penguins","268471","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","118275959","5.49932","5.5","1","25009","141","thing","Battle Penguins","2","6","15","15","15","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Royale","419294","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","118238620","5.53945","6.71222","1.5","14424","196","thing","Battle Royale","2","4","30","30","30","2024","3,4","3,4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Sheep","54137","6","8","0","0","0","0","0","0","1","0","0","4","","","","","","54414410","6.25325","6.60205","1.4574","1973","7042","thing","Battle Sheep","2","4","15","15","15","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","16.68","USD","","","2019-02-16","Target","1","B2G1","Sold","2019-03-22","","","",""
"A Battle Through History","349042","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93793072","5.57041","6.9585","2.625","11019","446","thing","A Battle Through History","2","5","120","120","90","2022","2,3,4,5","3,4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Battleship","2425","4","5","2","1","0","0","0","0","0","0","0","3","#large","","","","","77470546","4.79245","4.74515","1.2008","29570","20525","thing","Battleship","2","2","30","30","30","1931","2","2","6+","No necessary in-game text","","","","","","standalone","032244047305","","","","","","","","","","","","","",""
"Battleship: Card Game","7464","0","0","0","0","0","0","0","1","0","0","0","3","","Custom Cards","","","tbd","103338912","5.51532","5.76883","1.5","20270","472","thing","Battleship: Card Game","2","2","20","20","20","2002","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Battleship: Pirates of the Caribbean","309094","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","106024061","5.50609","6.20731","1","23175","176","thing","Battleship: Pirates of the Caribbean","2","2","30","30","30","2015","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bazaar","287","6","0","0","0","0","0","0","1","0","0","0","3","","","","","","68502913","5.95241","6.52398","2.0278","3411","3066","thing","Bazaar","2","6","45","45","45","1967","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beacon Patrol","362976","7","8","0","0","0","0","0","0","1","0","0","3","","","","","","106770751","6.26227","7.11195","1.4219","1941","5407","thing","Beacon Patrol","1","4","30","30","30","2023","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","13.38","USD","","","2024-04-08","Target","1","Sold for 12","","2024-04-16","","","",""
"Beacon Patrol: Discovery Tiles","390721","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117791563","5.57422","7.4927","1.6","0","596","thing","Beacon Patrol: Discovery Tiles","1","4","45","45","30","2023","1,2,3","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Beacon Patrol: Ships & Shores","417618","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117791566","5.64591","7.8987","1.75","0","1194","thing","Beacon Patrol: Ships & Shores","1","4","40","40","40","2024","1,2,3,4","1","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bear Attack","356477","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108542612","0","6.5","2","0","36","thing","Bear Attack","2","6","45","45","15","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bear Mountain Camping Adventure","394201","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108798795","5.56898","6.20805","2.1875","11131","1415","thing","Bear Mountain Camping Adventure","1","4","90","90","50","2024","2,3","2","10","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bear Raid","333981","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94342056","5.89074","6.93441","2.8846","3853","1851","thing","Bear Raid","3","6","60","60","60","2022","3,4,5,6","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Bears and the Bees","257372","7","20","0","1","0","0","0","0","0","0","0","3","#small","Pattern Building","","","","93844493","5.77023","6.72287","1.2353","5052","2157","thing","The Bears and the Bees","2","5","30","30","30","2018","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","752830921559","15","USD","","","2022-09-24","Uncles Games","1","Trade ratio cost estimate ($1 June 18, 2022)","Cards","2022-09-24","","","",""
"Bears vs Babies","211534","6","0","2","1","1","0","0","0","0","0","0","3","#medium","","","","","53700103","5.32922","5.3789","1.2479","29468","15719","thing","Bears vs Babies","2","5","20","20","15","2017","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","866795000300","30","USD","","","","Target","1","Assumed Cost","","","","","",""
"Bears!","99081","6.2","2","2","0","0","0","0","0","1","0","0","1","","Dice Rolling","","","","83285348","5.55203","5.75935","1.0377","12697","1816","thing","Bears!","2","4","20","20","20","2011","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","7.47","USD","","","2021-06-22","Target","1","","Returned*","2021-06-24","","","",""
"Bears!: Trail Mix'd","175591","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112697653","5.51677","6.40227","1.5","0","219","thing","Bears!: Trail Mix'd","2","4","20","20","20","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Beast","281549","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108464512","6.65308","7.46047","3.0571","979","8376","thing","Beast","2","4","120","120","60","2023","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Beasty Bar","165950","5.3","1","0","0","0","0","0","1","0","0","0","3","","","","","","98849109","6.34654","6.80173","1.4","1687","7612","thing","Beasty Bar","2","4","20","20","20","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beaver Creek","386018","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113734235","5.63999","7.121","1.0588","7590","555","thing","Beaver Creek","1","5","30","30","15","2023","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bebop","414349","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","118527588","5.66269","6.75762","2.3636","6987","530","thing","Bebop","2","4","60","60","45","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BEEEEES!","195981","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116799734","5.63096","6.61528","1.875","7878","728","thing","BEEEEES!","2","5","30","30","30","2017","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beer & Bread","369880","6.75","4","0","0","0","0","0","0","1","0","0","3","","","","","","97904969","6.81375","7.33345","2.3523","720","13154","thing","Beer & Bread","2","2","45","45","30","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","15","USD","","","2023-11-09","BGG","1","First bought for 28.62 at Night Owl and returned, sold for 18","","2023-11-09","","","",""
"Beer Mug Dice","148531","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","69743729","5.66762","6.38608","1.5769","6854","760","thing","Beer Mug Dice","3","6","20","20","20","2013","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BEERU and Sausages","286256","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","62881167","0","4.89091","0","0","13","thing","BEERU and Sausages","2","6","20","20","10","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Beez","299592","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","68153260","6.0358","6.69881","1.7895","2912","4737","thing","Beez","2","4","45","45","30","2020","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Belfort","50750","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","77723689","6.74263","7.20083","3.0456","824","7752","thing","Belfort","2","5","120","120","120","2011","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Belgian Beers Race","299838","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113049081","5.68142","7.12786","2.7143","6561","934","thing","The Belgian Beers Race","2","4","150","150","60","2021","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Belgian Beers Race Dice","369803","0","0","0","0","0","0","0","1","0","0","0","3","","","","","tbd","112693740","5.51504","6.58052","1","20354","167","thing","The Belgian Beers Race Dice","1","4","60","60","30","2023","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Belle of the Ball","139897","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","72002276","5.60635","5.98876","1.5","8879","1451","thing","Belle of the Ball","2","5","45","45","30","2014","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bellz!","167292","6.7","8","1","1","0","0","0","0","0","0","0","2","","","","","","128434967","5.63327","6.06917","1","7789","1660","thing","Bellz!","2","4","15","15","15","2014","2,3,4","4","4+","No necessary in-game text","","","","","","standalone","681147011526","16.48","USD","","","2025-03-15","Amazon","1","","","2025-03-17","","","",""
"Belratti","259374","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","121403672","6.22701","7.02245","1.06","2086","3630","thing","Belratti","3","7","25","25","25","2018","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bequest","334187","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103088135","5.58018","6.89225","2","10298","249","thing","Bequest","3","6","45","45","30","2021","3,4,5,6","4,6","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Berried Treasure","342073","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","88758491","5.63208","6.5043","1","7838","672","thing","Berried Treasure","2","5","20","20","20","2021","2,4,5","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Best in Show: Dashing Dogs","426596","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122192328","0","4.66667","0","0","21","thing","Best in Show: Dashing Dogs","2","5","35","35","20","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Best of Neapolitan","223952","0","0","0","0","0","0","0","1","0","0","0","3","","","","","tbd","120971597","5.76858","7.19951","1.4167","5070","372","thing","Best of Neapolitan","3","5","30","30","15","2017","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Best Treehouse Ever","171890","6","1","0","0","0","0","0","1","0","0","1","3","","","","","","57759117","5.95427","6.48436","1.3871","3391","3447","thing","Best Treehouse Ever","2","4","20","20","20","2015","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Best Treehouse Ever: Forest of Fun","232823","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","80085763","5.57149","6.50847","1.5","10932","658","thing","Best Treehouse Ever: Forest of Fun","1","4","30","30","20","2018","1,3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Best Treehouse Ever: Kickstarter Promo Pack","188722","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","80085767","5.55844","6.938","1","0","547","thing","Best Treehouse Ever: Kickstarter Promo Pack","2","4","30","0","30","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","5.5","0","0","0","0","0","0","1","0","0","0","4","","","","","","53700607","6.79227","7.01331","2.3988","749","84592","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betta","329227","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","93774727","5.48516","5.42022","1.1667","27422","225","thing","Betta","1","5","20","20","20","2022","1,2,3,4","1","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betty Botter Bought Some Butter","426314","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","128589843","0","6.2931","0","0","84","thing","Betty Botter Bought Some Butter","2","6","15","15","15","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","62364960","6.7903","7.22506","2.1883","752","11501","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Cities","168435","7","8","3","1","0","0","0","0","0","0","0","1","#medium","Card Drafting","","","","59862008","6.71295","6.97033","1.8158","866","14414","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","748252980410","34.5","USD","","","2020-06-19","eBay","1","","","2020-07-01","","","",""
"Between Two Cities: Capitals","225370","7","1","3","0","0","0","0","0","1","0","0","1","","","","","","61358351","6.106","7.62102","2.15","0","3367","thing","Between Two Cities: Capitals","1","7","35","35","30","2017","4,5,6,7","5,6","8+","No necessary in-game text","","","","","","expansion","","10.49","USD","","","2020-08-20","Amazon","1","Sold for 27.40 after fees and shipping","Sold","2020-08-25","","","",""
"Beyond Baker Street","168681","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","105087994","6.15187","6.80411","2.1667","2371","4154","thing","Beyond Baker Street","2","4","30","30","30","2016","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond the Sun","317985","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","80258026","7.56636","7.87195","3.1477","107","18981","thing","Beyond the Sun","2","4","120","120","60","2020","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","6.8","7","2","0","0","1","1","0","1","0","0","3","","","","","","55622877","6.99274","7.19564","1.6873","497","22366","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","10","USD","","","2019-06-23","Craigslist","1","","","2019-06-23","","","",""
"Biblios Dice","164506","5","1","0","0","0","0","0","0","1","0","0","3","","","","","","73139599","5.75859","6.75063","1.6786","5192","977","thing","Biblios Dice","2","5","30","30","30","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","707137563674","7.5","","","","2025-03-08","DTW","1","","","2025-03-08","","","",""
"Biblios: Quill and Parchment","300523","0","0","0","0","0","0","0","1","0","0","0","1","","","","","tbd","81502749","5.75468","6.86338","2.1538","5248","1489","thing","Biblios: Quill and Parchment","1","4","40","40","40","2021","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bidder Up!","193062","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94324611","5.60637","6.57492","1.8","8877","723","thing","Bidder Up!","2","4","60","60","60","2016","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Biddle","451924","6","1","0","0","0","0","0","1","0","0","1","3","","","","","","135367798","5.55438","7.01667","1.1667","12435","173","thing","Biddle","2","5","35","35","25","2025","2,3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bier Pioniere","389102","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120175666","6.01592","7.80558","3.2955","3009","963","thing","Bier Pioniere","2","4","100","100","75","2023","2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Big Book of Madness","171233","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59194826","6.50253","6.86921","2.6859","1285","12396","thing","The Big Book of Madness","2","5","90","90","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Boss","313","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","110660849","6.03902","7.18743","2.3636","2900","2150","thing","Big Boss","2","6","90","90","90","1994","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Easy Busking","263051","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116645316","5.55463","6.5226","2","12407","425","thing","Big Easy Busking","1","5","60","60","45","2020","2,3,4,5","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Money","247188","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","59748415","5.56497","6.14207","1","11460","887","thing","Big Money","2","5","30","30","0","2018","2,3,4,5","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","9","USD","","","2019-07-30","Walmart","1","","","2019-07-30","","","",""
"Big Monster","246567","0","2","0","0","0","0","0","1","0","0","0","1","","","","","","80314832","5.77279","6.76738","1.9412","5019","1055","thing","Big Monster","2","6","30","30","20","2018","2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Big Score","226445","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","81321660","5.68671","6.96941","2.1","6431","747","thing","The Big Score","1","6","60","60","30","2018","1,3,4,5,6","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
